,Smiles,MW,LogP,HBA,HBD,PSA,Fsp3,SA,MCE18,NP_Score,Lipinski_Pass,Pfizer_pass,Fsp3_pass,MCE_pass,SA_pass,NP_pass,Final_pass,PAINS,BMS,CHE
254,C[C@H](O)[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C)C(=O)O,719.8720000000001,4.915400000000004,10,5,187.53,0.5853658536585366,5.734366979955236,65,1.8317682804460231,True,True,True,True,True,True,True,True,True,True
255,CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CS)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,659.842,4.170500000000003,10,5,167.29999999999998,0.6857142857142857,5.798201043204976,54,2.2361080972294656,True,True,True,True,True,True,True,True,True,True
256,CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CS)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,673.869,4.560600000000004,10,5,167.29999999999998,0.6944444444444444,5.836088365010784,54,2.083285931475689,True,True,True,True,True,True,True,True,True,True
258,CC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)C(C)C)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,655.8290000000001,4.896700000000004,9,4,167.29999999999998,0.7027027027027027,5.729292055842143,52,2.1520169598018963,True,True,True,True,True,True,True,True,True,True
267,CSCC[C@H](N[C@H](/C=C/C(C)(C)OC(C)=O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C)C(=O)O,687.8960000000001,4.993800000000004,10,4,167.29999999999998,0.7027027027027027,5.765382642090633,54,1.9983615723247563,True,True,True,True,True,True,True,True,True,True
270,CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(C)=O)NCC(=O)O,657.8010000000003,4.234700000000003,10,4,176.53,0.6944444444444444,5.679796807787519,54,2.5087559901956773,True,True,True,True,True,True,True,True,True,True
271,CCC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1[C@H](OC(C)=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,671.828,4.624800000000002,10,4,176.52999999999997,0.7027027027027027,5.721366158574149,54,2.4099301472275587,True,True,True,True,True,True,True,True,True,True
273,CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(C)=O)N[C@H](C)C(=O)O,671.8280000000003,4.623200000000003,10,4,176.53,0.7027027027027027,5.757069305056966,54,2.462174785337205,True,True,True,True,True,True,True,True,True,True
297,CCC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(C)=O)NCC(=O)O,671.8280000000003,4.624800000000003,10,4,176.53,0.7027027027027027,5.713989235497225,54,2.4278715151240164,True,True,True,True,True,True,True,True,True,True
432,CC(=O)OC(C)(C)/C=C/[C@@H](N1CCC[C@H]1C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,657.845,4.3305000000000025,9,5,164.83,0.7567567567567568,5.821803555779867,53,2.228228424771747,True,True,True,True,True,True,True,True,True,True
