Smiles,MW,LogP,HBA,HBD,PSA,Fsp3,SA,MCE18,NP_Score,Lipinski_Pass,Pfizer_pass,Fsp3_pass,MCE_pass,SA_pass,NP_pass,Final_pass,PAINS,BMS,CHE
CC(C)[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,719.9160000000002,5.982400000000006,9,5,170.45999999999998,0.6190476190476191,5.740266645507076,61,1.7512277364130695,False,True,True,True,True,True,False,True,True,True
CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CC(C)C)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,671.8720000000001,5.078600000000005,9,5,170.45999999999998,0.7368421052631579,5.836303643518504,50,2.135825794882067,False,True,True,True,True,True,False,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CC(C)C)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,685.8990000000001,5.468700000000006,9,5,170.45999999999998,0.7435897435897436,5.876376320518819,50,1.9912878461457388,False,True,True,True,True,True,False,True,True,True
CC(C)C[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,733.9430000000001,6.372500000000008,9,5,170.45999999999998,0.627906976744186,5.742763663494399,61,1.7549740601516928,False,True,True,True,True,True,False,True,True,True
CC[C@H](C)[C@H](N[C@H](/C=C/C(C)(C)OC(C)=O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,671.8720000000002,5.078600000000005,9,5,170.45999999999998,0.7368421052631579,5.92476251244229,50,2.116269808100307,False,True,True,True,True,True,False,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)[C@@H](C)CC)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,685.8990000000002,5.468700000000005,9,5,170.45999999999998,0.7435897435897436,5.963988246173373,50,1.9757381178604432,False,True,True,True,True,True,False,True,True,True
CC[C@H](C)[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,733.9430000000001,6.372500000000008,9,5,170.45999999999998,0.627906976744186,5.8271219654787405,61,1.7372629777833062,False,True,True,True,True,True,False,True,True,True
CSCC[C@H](N[C@H](/C=C/C(C)(C)OC(C)=O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,689.9120000000001,4.785600000000003,10,5,170.45999999999998,0.7297297297297297,5.879514272089933,52,1.986383617097465,True,True,True,True,True,True,True,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CCSC)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,703.9390000000002,5.175700000000005,10,5,170.45999999999998,0.7368421052631579,5.9185364753712335,52,1.844895508724088,False,True,True,True,True,True,False,True,True,True
CSCC[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,751.9830000000002,6.079500000000007,10,5,170.45999999999998,0.6190476190476191,5.782978213643082,63,1.619630201026015,False,True,True,True,True,True,False,True,True,True
CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(C)=O)NCC(=O)O,659.8170000000002,4.026500000000002,10,5,179.69,0.7222222222222222,5.817295872790839,52,2.383148808113315,True,True,True,True,True,True,True,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1[C@H](OC(C)=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,673.844,4.4166000000000025,10,5,179.68999999999997,0.7297297297297297,5.856956030331691,52,2.286939781438579,True,True,True,True,True,True,True,True,True,True
CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(=O)c1ccccc1)NCC(=O)O,721.8880000000003,5.320400000000005,10,5,179.69,0.6097560975609756,5.717488502536503,63,2.023339042999044,False,True,True,True,True,True,False,True,True,True
CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(C)=O)N[C@H](C)C(=O)O,673.8440000000003,4.415000000000003,10,5,179.69,0.7297297297297297,5.888295066288444,52,2.339184419548226,True,True,True,True,True,True,True,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C)C(=O)O)[C@](C)(O)[C@H]1[C@H](OC(C)=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,687.8710000000001,4.805100000000004,10,5,179.68999999999997,0.7368421052631579,5.9283755057887575,52,2.243300254434445,True,True,True,True,True,True,True,True,True,True
CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(=O)c1ccccc1)N[C@H](C)C(=O)O,735.9150000000003,5.708900000000005,10,5,179.69,0.6190476190476191,5.794792669243062,63,1.990311101753572,False,True,True,True,True,True,False,True,True,True
CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(C)=O)N[C@H](CO)C(=O)O,689.8430000000003,3.3874000000000017,11,6,199.92,0.7297297297297297,5.916367212519527,54,2.348419107013027,False,True,True,True,True,True,False,True,True,True
